"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Mugen","942995255",11137500,13200000,2062500,18.5
"TCrow13","357536376",10834500,13050000,2215500,20.4
"Rvdbandit","181679453",9230000,2100000,-7130000,-77.2
"Rat Perfected","774347379",9167500,10050000,882500,9.6
"keseko","684612469",8485000,5020000,-3465000,-40.8
"Iamtaco","476455629",6470000,6830000,360000,5.6
"Creamed Corn","879692712",6232500,5100000,-1132500,-18.2
"Tulak","419389383",6213500,5970000,-243500,-3.9
"ChiefLikeYouMeanIt","472325871",5990000,6600000,610000,10.2
"Smol Frog","357643478",4994500,0,-4994500,-100
"Indra","644773197",4769500,5400000,630500,13.2
"British Frog Man","475467821",4454000,5100000,646000,14.5
"Dezember13","111273117",4335500,3600000,-735500,-17
"EsiJones","741335453",4275000,4650000,375000,8.8
"Ecow","777411988",3268500,3150000,-118500,-3.6
"DanyX","159821172",2870500,2250000,-620500,-21.6
"Verio","768128275",2830000,2700000,-130000,-4.6
"Warsa Kelee","493744276",2782000,2400000,-382000,-13.7
"Marc St","581829883",2691000,1940000,-751000,-27.9
"Rui Vuusen","636685239",2638500,2615000,-23500,-0.9
"Sheeeev","417883322",2565500,1872500,-693000,-27
"RoyCalyptus","557611448",2512500,2720000,207500,8.3
"Magikoi","782454946",2266000,2250000,-16000,-0.7
"Ezekiel Rynock","235995537",2186500,2250000,63500,2.9
"Margo Ren","647494388",2124000,2782500,658500,31
"Luchtloper","518116985",1967500,2700000,732500,37.2
"DarthZora","372597724",1942500,2550000,607500,31.3
"Rilan29","737568893",1924500,2030000,105500,5.5
"Elias Dundy","695697618",1822000,2550000,728000,40
"ahunn","872169159",1789500,1950000,160500,9
"Tali","728641823",1654000,2550000,896000,54.2
"Mur Xtasee","614947631",1632000,1755000,123000,7.5
"Ash Cole","324154933",1630500,1945000,314500,19.3
"EwokPaperScissors","326117835",1615500,1200000,-415500,-25.7
"Skyspuds","764315256",1486500,2100000,613500,41.3
"Sikufake","384411919",1433500,1500000,66500,4.6
"Speedweed","738292581",1380000,1650000,270000,19.6
"TinyPaly","345935274",1279500,1800000,520500,40.7
"Jetfire","828364146",1231500,750000,-481500,-39.1
"Memester456","393358895",1221500,,,
"Narvil Base","347621924",1214500,1800000,585500,48.2
"Fennec Fox","969924411",1171000,1650000,479000,40.9
"Hammy","461531766",1124500,1522500,398000,35.4
"Xentris","679532973",1122000,1350000,228000,20.3
"Skeletor","241758568",1115000,2100000,985000,88.3
"Sadiush","869346951",1012500,1160000,147500,14.6
"Soupy","232947293",985500,0,-985500,-100
"Poptheup","266891749",943000,1050000,107000,11.3
