"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"TCrow13","357536376",10835500,9195000,-1640500,-15.1
"Mugen","942995255",10800000,,,
"Rat Perfected","774347379",8965000,9600000,635000,7.1
"keseko","684612469",8491500,5400000,-3091500,-36.4
"Rvdbandit","181679453",8400000,4200000,-4200000,-50
"Mower","362274564",6676000,8700000,2024000,30.3
"Tulak","419389383",6213000,5220000,-993000,-16
"ChiefLikeYouMeanIt","472325871",5935000,6600000,665000,11.2
"Creamed Corn","879692712",5825000,6000000,175000,3
"Smol Frog","357643478",5019500,5250000,230500,4.6
"Iamtaco","476455629",4817000,5250000,433000,9
"Indra","644773197",4789000,5400000,611000,12.8
"British Frog Man","475467821",4469000,4950000,481000,10.8
"Dezember13","111273117",4336500,4950000,613500,14.1
"EsiJones","741335453",4113500,4500000,386500,9.4
"DanyX","159821172",2853500,2212500,-641000,-22.5
"Sheeeev","417883322",2547000,1745000,-802000,-31.5
"Rui Vuusen","636685239",2467000,2400000,-67000,-2.7
"Marc St","581829883",2454500,1760000,-694500,-28.3
"RoyCalyptus","557611448",2277500,2450000,172500,7.6
"Magikoi","782454946",2249500,2002500,-247000,-11
"Verio","768128275",2190500,2250000,59500,2.7
"LessBetter","813883885",2062500,300000,-1762500,-85.5
"Luchtloper","518116985",1959000,2700000,741000,37.8
"DarthZora","372597724",1935000,2100000,165000,8.5
"Ezekiel Rynock","235995537",1934500,1950000,15500,0.8
"Arcadia","388274438",1916500,1980000,63500,3.3
"Margo Ren","647494388",1912000,2052500,140500,7.3
"Rilan29","737568893",1861500,1975000,113500,6.1
"Warsa Kelee","493744276",1832000,2160000,328000,17.9
"Elias Dundy","695697618",1805000,2100000,295000,16.3
"Ash Cole","324154933",1499500,1500000,500,0
"Skyspuds","764315256",1468000,1747500,279500,19
"VeryDarkPersonInside","297128913",1366500,600000,-766500,-56.1
"Mur Xtasee","614947631",1358500,1650000,291500,21.5
"ahunn","872169159",1355000,1800000,445000,32.8
"Speedweed","738292581",1334500,1440000,105500,7.9
"TinyPaly","345935274",1277500,1800000,522500,40.9
"Sikufake","384411919",1214500,1500000,285500,23.5
"Narvil Base","347621924",1198500,1800000,601500,50.2
"Skeletor","241758568",1112000,2100000,988000,88.8
"Tali","728641823",1055500,2250000,1194500,113.2
"Sadiush","869346951",1000500,1500000,499500,49.9
"supernovaaa","537794176",971500,1350000,378500,39
"Soupy","232947293",966500,1050000,83500,8.6
"Poptheup","266891749",941000,900000,-41000,-4.4
"Hammy","461531766",925500,1395000,469500,50.7
"JetFire","828364146",923500,600000,-323500,-35
"EwokPaperScissors","326117835",621500,900000,278500,44.8
