"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"TCrow13","357536376",10805000,12150000,1345000,12.4
"Mugen","942995255",10783000,8400000,-2383000,-22.1
"Rat Perfected","774347379",9141000,9300000,159000,1.7
"keseko","684612469",8469000,5860000,-2609000,-30.8
"Rvdbandit","181679453",8400000,4102500,-4297500,-51.2
"Mower","362274564",6683500,8797500,2114000,31.6
"Tulak","419389383",6190500,3390000,-2800500,-45.2
"ChiefLikeYouMeanIt","472325871",5986500,6600000,613500,10.2
"Creamed Corn","879692712",5826000,3600000,-2226000,-38.2
"Iamtaco","476455629",5020000,5550000,530000,10.6
"Smol Frog","357643478",4998000,6000000,1002000,20
"Indra","644773197",4762000,5400000,638000,13.4
"British Frog Man","475467821",4438000,4950000,512000,11.5
"Dezember13","111273117",4305500,4950000,644500,15
"EsiJones","741335453",4287000,4650000,363000,8.5
"Ecow","777411988",3262500,,,
"DanyX","159821172",2852000,2040000,-812000,-28.5
"Rui Vuusen","636685239",2632500,2615000,-17500,-0.7
"Sheeeev","417883322",2547000,1740000,-807000,-31.7
"Marc St","581829883",2454500,1705000,-749500,-30.5
"Verio","768128275",2391000,2250000,-141000,-5.9
"RoyCalyptus","557611448",2278500,2550000,271500,11.9
"Magikoi","782454946",2259500,2145000,-114500,-5.1
"Ezekiel Rynock","235995537",1990000,1950000,-40000,-2
"Arcadia","388274438",1968500,2100000,131500,6.7
"Luchtloper","518116985",1968000,2700000,732000,37.2
"Margo Ren","647494388",1957000,2115000,158000,8.1
"DarthZora","372597724",1934500,2100000,165500,8.6
"Rilan29","737568893",1871000,1820000,-51000,-2.7
"Warsa Kelee","493744276",1844500,2182500,338000,18.3
"Elias Dundy","695697618",1813500,2400000,586500,32.3
"ReydShadowLegends","613889278",1585500,,,
"Ash Cole","324154933",1499500,1500000,500,0
"Skyspuds","764315256",1479000,1650000,171000,11.6
"Sikufake","384411919",1438000,1500000,62000,4.3
"ahunn","872169159",1407500,1800000,392500,27.9
"Speedweed","738292581",1380000,1500000,120000,8.7
"VeryDarkPersonInside","297128913",1377000,600000,-777000,-56.4
"Mur Xtasee","614947631",1369500,1650000,280500,20.5
"TinyPaly","345935274",1279500,1800000,520500,40.7
"Narvil Base","347621924",1202500,1800000,597500,49.7
"Fennec Fox","969924411",1167500,,,
"Tali","728641823",1159500,2250000,1090500,94
"Hammy","461531766",1122500,1437500,315000,28.1
"Xentris","679532973",1119500,,,
"Skeletor","241758568",1111000,2100000,989000,89
"Sadiush","869346951",1011000,1875000,864000,85.5
"supernovaaa","537794176",982000,1350000,368000,37.5
"Soupy","232947293",967000,1200000,233000,24.1
"Poptheup","266891749",941500,1050000,108500,11.5
