"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"TCrow13","357536376",10803000,7200000,-3603000,-33.4
"Mugen","942995255",10788000,3600000,-7188000,-66.6
"Rat Perfected","774347379",9158500,10050000,891500,9.7
"keseko","684612469",8474000,5580000,-2894000,-34.2
"Rvdbandit","181679453",8400000,4080000,-4320000,-51.4
"Mower","362274564",7623500,9870000,2246500,29.5
"Tulak","419389383",6196500,5017500,-1179000,-19
"ChiefLikeYouMeanIt","472325871",5986500,6600000,613500,10.2
"Creamed Corn","879692712",5832000,3600000,-2232000,-38.3
"Iamtaco","476455629",5023000,5550000,527000,10.5
"Smol Frog","357643478",4999000,6000000,1001000,20
"Indra","644773197",4764000,5400000,636000,13.4
"British Frog Man","475467821",4444000,4950000,506000,11.4
"Dezember13","111273117",4306500,3600000,-706500,-16.4
"EsiJones","741335453",4276500,4650000,373500,8.7
"Ecow","777411988",3269000,3030000,-239000,-7.3
"DanyX","159821172",2865500,2290000,-575500,-20.1
"Marc St","581829883",2690000,1970000,-720000,-26.8
"Rui Vuusen","636685239",2634500,2630000,-4500,-0.2
"Sheeeev","417883322",2554500,1737500,-817000,-32
"Verio","768128275",2394000,2250000,-144000,-6
"RoyCalyptus","557611448",2277500,2550000,272500,12
"Magikoi","782454946",2261500,2062500,-199000,-8.8
"Ezekiel Rynock","235995537",2183000,1950000,-233000,-10.7
"Arcadia","388274438",1971000,1350000,-621000,-31.5
"Luchtloper","518116985",1968000,2700000,732000,37.2
"Margo Ren","647494388",1957000,2057500,100500,5.1
"DarthZora","372597724",1936000,2250000,314000,16.2
"Warsa Kelee","493744276",1870000,2302500,432500,23.1
"Rilan29","737568893",1870000,1860000,-10000,-0.5
"Elias Dundy","695697618",1817000,2400000,583000,32.1
"ahunn","872169159",1780000,1950000,170000,9.6
"Ash Cole","324154933",1627500,0,-1627500,-100
"ReydShadowLegends","613889278",1586000,1500000,-86000,-5.4
"Skyspuds","764315256",1477500,1900000,422500,28.6
"Sikufake","384411919",1436000,1500000,64000,4.5
"VeryDarkPersonInside","297128913",1380000,1030000,-350000,-25.4
"Speedweed","738292581",1379500,1650000,270500,19.6
"Mur Xtasee","614947631",1370000,1650000,280000,20.4
"TinyPaly","345935274",1278000,1800000,522000,40.8
"Narvil Base","347621924",1208500,1800000,591500,48.9
"Fennec Fox","969924411",1167500,1635000,467500,40
"Tali","728641823",1160500,2550000,1389500,119.7
"Hammy","461531766",1122500,1550000,427500,38.1
"Xentris","679532973",1121000,1350000,229000,20.4
"Skeletor","241758568",1111000,2100000,989000,89
"Sadiush","869346951",1011000,1830000,819000,81
"Soupy","232947293",970000,1200000,230000,23.7
"Poptheup","266891749",941500,1050000,108500,11.5
"RNG DirectorRik","485698314",842500,,,
