"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"TCrow13","357536376",10808500,7200000,-3608500,-33.4
"Mugen","942995255",10790000,12600000,1810000,16.8
"Rat Perfected","774347379",9158000,10050000,892000,9.7
"keseko","684612469",8479500,,,
"Rvdbandit","181679453",8400000,3900000,-4500000,-53.6
"Tulak","419389383",6196500,5600000,-596500,-9.6
"ChiefLikeYouMeanIt","472325871",5984000,6600000,616000,10.3
"Creamed Corn","879692712",5832000,3600000,-2232000,-38.3
"Iamtaco","476455629",5027000,5550000,523000,10.4
"Smol Frog","357643478",4998000,6000000,1002000,20
"Indra","644773197",4767500,5400000,632500,13.3
"British Frog Man","475467821",4448000,4950000,502000,11.3
"Dezember13","111273117",4339500,4950000,610500,14.1
"EsiJones","741335453",4273500,4650000,376500,8.8
"Ecow","777411988",3265000,3150000,-115000,-3.5
"DanyX","159821172",2862000,0,-2862000,-100
"Marc St","581829883",2690500,0,-2690500,-100
"Rui Vuusen","636685239",2637000,2700000,63000,2.4
"Sheeeev","417883322",2556500,1800000,-756500,-29.6
"Verio","768128275",2393000,2250000,-143000,-6
"RoyCalyptus","557611448",2278500,2250000,-28500,-1.3
"Magikoi","782454946",2262000,2002500,-259500,-11.5
"Ezekiel Rynock","235995537",2183000,1950000,-233000,-10.7
"Luchtloper","518116985",1968000,2700000,732000,37.2
"Margo Ren","647494388",1956000,2095000,139000,7.1
"DarthZora","372597724",1935000,2250000,315000,16.3
"Rilan29","737568893",1871500,1975000,103500,5.5
"Warsa Kelee","493744276",1871500,2160000,288500,15.4
"Elias Dundy","695697618",1818000,2550000,732000,40.3
"ahunn","872169159",1783500,1950000,166500,9.3
"Tali","728641823",1652500,2550000,897500,54.3
"VeryDarkPersonInside","297128913",1631000,1295000,-336000,-20.6
"Ash Cole","324154933",1627500,1500000,-127500,-7.8
"ReydShadowLegends","613889278",1586000,1500000,-86000,-5.4
"Skyspuds","764315256",1478000,1950000,472000,31.9
"Sikufake","384411919",1435000,1500000,65000,4.5
"Speedweed","738292581",1379500,1200000,-179500,-13
"Mur Xtasee","614947631",1370000,1500000,130000,9.5
"TinyPaly","345935274",1278000,1800000,522000,40.8
"Narvil Base","347621924",1209500,1800000,590500,48.8
"Fennec Fox","969924411",1167500,1650000,482500,41.3
"Hammy","461531766",1123000,1522500,399500,35.6
"Xentris","679532973",1121500,1350000,228500,20.4
"Skeletor","241758568",1112000,1800000,688000,61.9
"Sadiush","869346951",1012500,1905000,892500,88.1
"Soupy","232947293",981000,450000,-531000,-54.1
"Poptheup","266891749",943000,1050000,107000,11.3
"Jetfire","828364146",934000,,,
"RNG DirectorRik","485698314",842500,236250,-606250,-72
"EwokPaperScissors","326117835",631500,,,
