"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Mugen","942995255",11129000,12600000,1471000,13.2
"TCrow13","357536376",10843000,7200000,-3643000,-33.6
"Rat Perfected","774347379",9161500,10050000,888500,9.7
"keseko","684612469",8484500,5340000,-3144500,-37.1
"Rvdbandit","181679453",8400000,4450000,-3950000,-47
"Iamtaco","476455629",6458500,6502500,44000,0.7
"Tulak","419389383",6206500,4957500,-1249000,-20.1
"ChiefLikeYouMeanIt","472325871",5991000,6600000,609000,10.2
"Creamed Corn","879692712",5847000,3600000,-2247000,-38.4
"Smol Frog","357643478",4996500,6000000,1003500,20.1
"Indra","644773197",4766000,4800000,34000,0.7
"British Frog Man","475467821",4451500,5100000,648500,14.6
"Dezember13","111273117",4338500,5250000,911500,21
"EsiJones","741335453",4274500,4650000,375500,8.8
"Ecow","777411988",3265000,3150000,-115000,-3.5
"DanyX","159821172",2860000,2270000,-590000,-20.6
"Marc St","581829883",2692000,1890000,-802000,-29.8
"Rui Vuusen","636685239",2636500,2700000,63500,2.4
"Verio","768128275",2589000,2400000,-189000,-7.3
"Sheeeev","417883322",2567000,1760000,-807000,-31.4
"RoyCalyptus","557611448",2511500,2570000,58500,2.3
"Magikoi","782454946",2263000,2280000,17000,0.8
"Ezekiel Rynock","235995537",2185000,2100000,-85000,-3.9
"Warsa Kelee","493744276",2162500,2262500,100000,4.6
"Margo Ren","647494388",2121000,2612500,491500,23.2
"Luchtloper","518116985",1967000,2700000,733000,37.3
"DarthZora","372597724",1942500,2400000,457500,23.6
"Rilan29","737568893",1924000,2010000,86000,4.5
"Elias Dundy","695697618",1820500,2550000,729500,40.1
"ahunn","872169159",1785500,1950000,164500,9.2
"Tali","728641823",1652500,2550000,897500,54.3
"VeryDarkPersonInside","297128913",1630500,1310000,-320500,-19.7
"Ash Cole","324154933",1629500,1800000,170500,10.5
"Mur Xtasee","614947631",1629500,1800000,170500,10.5
"Skyspuds","764315256",1479000,1950000,471000,31.8
"Sikufake","384411919",1433500,1500000,66500,4.6
"Speedweed","738292581",1380000,1350000,-30000,-2.2
"TinyPaly","345935274",1278000,1800000,522000,40.8
"Narvil Base","347621924",1215000,1800000,585000,48.1
"EwokPaperScissors","326117835",1192000,300000,-892000,-74.8
"Fennec Fox","969924411",1169500,1650000,480500,41.1
"Hammy","461531766",1122500,1500000,377500,33.6
"Xentris","679532973",1121000,1350000,229000,20.4
"Skeletor","241758568",1109500,2100000,990500,89.3
"Sadiush","869346951",1012500,1800000,787500,77.8
"Soupy","232947293",984500,1350000,365500,37.1
"Poptheup","266891749",943000,1050000,107000,11.3
"Jetfire","828364146",934000,685000,-249000,-26.7
