"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"TCrow13","357536376",10831500,7200000,-3631500,-33.5
"Mugen","942995255",10798500,10800000,1500,0
"Rat Perfected","774347379",9161000,7200000,-1961000,-21.4
"keseko","684612469",8482500,5530000,-2952500,-34.8
"Rvdbandit","181679453",8400000,3510000,-4890000,-58.2
"Tulak","419389383",6197000,5282500,-914500,-14.8
"Iamtaco","476455629",6097500,0,-6097500,-100
"ChiefLikeYouMeanIt","472325871",5984000,6600000,616000,10.3
"Creamed Corn","879692712",5836500,4500000,-1336500,-22.9
"Smol Frog","357643478",4996500,6000000,1003500,20.1
"Indra","644773197",4766500,5400000,633500,13.3
"British Frog Man","475467821",4451000,4950000,499000,11.2
"Dezember13","111273117",4334500,4350000,15500,0.4
"EsiJones","741335453",4271000,4650000,379000,8.9
"Ecow","777411988",3264000,3150000,-114000,-3.5
"DanyX","159821172",2862000,2270000,-592000,-20.7
"Marc St","581829883",2692000,1825000,-867000,-32.2
"Rui Vuusen","636685239",2636500,2700000,63500,2.4
"Sheeeev","417883322",2565500,1825000,-740500,-28.9
"RoyCalyptus","557611448",2511500,2550000,38500,1.5
"Verio","768128275",2393000,2250000,-143000,-6
"Magikoi","782454946",2262000,2130000,-132000,-5.8
"Ezekiel Rynock","235995537",2184500,2085000,-99500,-4.6
"Margo Ren","647494388",2120000,2632500,512500,24.2
"Luchtloper","518116985",1967500,2700000,732500,37.2
"DarthZora","372597724",1944500,2400000,455500,23.4
"Warsa Kelee","493744276",1872500,2267500,395000,21.1
"Rilan29","737568893",1870000,1985000,115000,6.1
"Elias Dundy","695697618",1818500,2550000,731500,40.2
"ahunn","872169159",1784500,1950000,165500,9.3
"Tali","728641823",1652000,2550000,898000,54.4
"VeryDarkPersonInside","297128913",1629500,1265000,-364500,-22.4
"Ash Cole","324154933",1627500,1500000,-127500,-7.8
"ReydShadowLegends","613889278",1586000,1500000,-86000,-5.4
"Skyspuds","764315256",1477500,1650000,172500,11.7
"Sikufake","384411919",1433500,1500000,66500,4.6
"Speedweed","738292581",1379500,1650000,270500,19.6
"Mur Xtasee","614947631",1370500,1050000,-320500,-23.4
"TinyPaly","345935274",1277500,1800000,522500,40.9
"Narvil Base","347621924",1212000,1800000,588000,48.5
"Fennec Fox","969924411",1167000,1612500,445500,38.2
"Hammy","461531766",1122000,1545000,423000,37.7
"Xentris","679532973",1120500,1350000,229500,20.5
"Skeletor","241758568",1110000,2045000,935000,84.2
"Sadiush","869346951",1012500,1820000,807500,79.8
"Soupy","232947293",983000,1455000,472000,48
"Poptheup","266891749",943000,1050000,107000,11.3
"Jetfire","828364146",934000,0,-934000,-100
"EwokPaperScissors","326117835",632000,0,-632000,-100
