"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Mugen","942995255",11134000,13050000,1916000,17.2
"TCrow13","357536376",10836000,7200000,-3636000,-33.6
"Rat Perfected","774347379",9161000,10050000,889000,9.7
"keseko","684612469",8485500,5460000,-3025500,-35.7
"Rvdbandit","181679453",8400000,4180000,-4220000,-50.2
"Iamtaco","476455629",6452000,5890000,-562000,-8.7
"Tulak","419389383",6203500,4215000,-1988500,-32.1
"ChiefLikeYouMeanIt","472325871",5988500,6600000,611500,10.2
"Creamed Corn","879692712",5839000,4500000,-1339000,-22.9
"Smol Frog","357643478",4995000,6000000,1005000,20.1
"Indra","644773197",4766500,5400000,633500,13.3
"British Frog Man","475467821",4452000,4950000,498000,11.2
"Dezember13","111273117",4336000,5100000,764000,17.6
"EsiJones","741335453",4274500,4650000,375500,8.8
"Ecow","777411988",3266000,3150000,-116000,-3.6
"DanyX","159821172",2860500,2270000,-590500,-20.6
"Marc St","581829883",2690000,1610000,-1080000,-40.1
"Rui Vuusen","636685239",2636500,2645000,8500,0.3
"Sheeeev","417883322",2565500,1845000,-720500,-28.1
"RoyCalyptus","557611448",2510000,2580000,70000,2.8
"Verio","768128275",2394500,2315000,-79500,-3.3
"Magikoi","782454946",2262500,2235000,-27500,-1.2
"Ezekiel Rynock","235995537",2184500,2100000,-84500,-3.9
"Warsa Kelee","493744276",2162000,2182500,20500,0.9
"Margo Ren","647494388",2121000,2642500,521500,24.6
"Luchtloper","518116985",1967000,2700000,733000,37.3
"DarthZora","372597724",1942500,2400000,457500,23.6
"Rilan29","737568893",1921500,1985000,63500,3.3
"Elias Dundy","695697618",1820500,2550000,729500,40.1
"ahunn","872169159",1784500,1950000,165500,9.3
"Tali","728641823",1652500,2550000,897500,54.3
"Mur Xtasee","614947631",1629500,1800000,170500,10.5
"VeryDarkPersonInside","297128913",1629500,1310000,-319500,-19.6
"Ash Cole","324154933",1626500,1500000,-126500,-7.8
"Skyspuds","764315256",1477000,1895000,418000,28.3
"Sikufake","384411919",1433500,1500000,66500,4.6
"Speedweed","738292581",1380000,1650000,270000,19.6
"TinyPaly","345935274",1278500,1800000,521500,40.8
"Narvil Base","347621924",1214000,1800000,586000,48.3
"Fennec Fox","969924411",1169000,1650000,481000,41.1
"Hammy","461531766",1121500,1522500,401000,35.8
"Xentris","679532973",1121000,1350000,229000,20.4
"Skeletor","241758568",1110000,2100000,990000,89.2
"Sadiush","869346951",1011000,1820000,809000,80
"Soupy","232947293",984500,1372500,388000,39.4
"Poptheup","266891749",943000,1050000,107000,11.3
"Jetfire","828364146",934000,552500,-381500,-40.8
"EwokPaperScissors","326117835",632000,1117500,485500,76.8
