"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Mugen","942995255",10800000,0,-10800000,-100
"Rat Perfected","774347379",8969000,3600000,-5369000,-59.9
"Rvdbandit","181679453",8400000,4020000,-4380000,-52.1
"TCrow13","357536376",8207500,9450000,1242500,15.1
"keseko","684612469",7835000,5010000,-2825000,-36.1
"Mower","362274564",6678000,8152500,1474500,22.1
"Tulak","419389383",6213000,4050000,-2163000,-34.8
"ChiefLikeYouMeanIt","472325871",5934000,6300000,366000,6.2
"Creamed Corn","879692712",5713000,2700000,-3013000,-52.7
"Smol Frog","357643478",5014500,3600000,-1414500,-28.2
"Iamtaco","476455629",4816000,4350000,-466000,-9.7
"Indra","644773197",4789000,5400000,611000,12.8
"British Frog Man","475467821",4469000,2250000,-2219000,-49.7
"EsiJones","741335453",3902500,4500000,597500,15.3
"DanyX","159821172",2853500,300000,-2553500,-89.5
"Sheeeev","417883322",2547000,1550000,-997000,-39.1
"Rui Vuusen","636685239",2466000,1920000,-546000,-22.1
"Marc St","581829883",2452500,1650000,-802500,-32.7
"RoyCalyptus","557611448",2277500,2425000,147500,6.5
"Magikoi","782454946",2247500,1875000,-372500,-16.6
"Verio","768128275",2189500,2250000,60500,2.8
"LessBetter","813883885",2062500,0,-2062500,-100
"DarthZora","372597724",1935000,1650000,-285000,-14.7
"Ezekiel Rynock","235995537",1934000,1950000,16000,0.8
"Arcadia","388274438",1916500,0,-1916500,-100
"Margo Ren","647494388",1912000,1625000,-287000,-15
"Rilan29","737568893",1861500,2047500,186000,10
"Luchtloper","518116985",1861500,2550000,688500,37
"Elias Dundy","695697618",1801500,2017500,216000,12
"Dezember13","111273117",1730500,2250000,519500,30
"Ash Cole","324154933",1498500,1500000,1500,0.1
"Skyspuds","764315256",1466500,1740000,273500,18.6
"VeryDarkPersonInside","297128913",1366500,450000,-916500,-67.1
"Mur Xtasee","614947631",1358000,1740000,382000,28.1
"ahunn","872169159",1353500,1800000,446500,33
"Speedweed","738292581",1331500,600000,-731500,-54.9
"Warsa Kelee","493744276",1314500,2100000,785500,59.8
"TinyPaly","345935274",1277500,1800000,522500,40.9
"Sikufake","384411919",1214500,1500000,285500,23.5
"Narvil Base","347621924",1198000,600000,-598000,-49.9
"Skeletor","241758568",1111000,2100000,989000,89
"Tali","728641823",1055500,2250000,1194500,113.2
"Sadiush","869346951",1000000,1117500,117500,11.8
"supernovaaa","537794176",971500,1260000,288500,29.7
"Poptheup","266891749",940500,900000,-40500,-4.3
"Hammy","461531766",926000,1372500,446500,48.2
"JetFire","828364146",923500,,,
"Soupy","232947293",775500,1050000,274500,35.4
"MoreCoffee","564763874",697000,,,
"EwokPaperScissors","326117835",621000,,,
